x,y
101.1732,0.06532878
105.2854,0.8650298
109.4142,1.73004
113.5007,2.695801
117.484,3.731168
121.5923,4.882277
125.6802,6.071871
129.6798,7.313332
133.621,8.565499
137.4819,9.796912
141.4133,11.03635
145.0452,12.16807
148.7521,13.30515
152.4577,14.41932
156.3161,15.56544
160.1629,16.68487
164.0494,17.75521
168.0641,18.80827
172.0545,19.80296
176.0056,20.74137
179.8766,21.61093
183.7534,22.42762
187.6718,23.18514
191.5584,23.86949
195.5318,24.49654
199.5186,25.08941
203.6593,25.63014
207.766,26.09695
211.7169,26.47948
215.5474,26.79029
219.3605,27.04431
223.2394,27.27674
227.1695,27.49034
231.0957,27.64689
235.113,27.74899
239.1775,27.79807
243.1694,27.79304
247.0907,27.73581
250.9179,27.62891
254.7622,27.48361
258.6619,27.31452
262.5865,27.09188
266.5495,26.80517
270.5088,26.4523
274.4427,26.03992
278.281,25.58143
282.1376,25.08158
286.1156,24.52551
290.1539,23.93352
294.2319,23.31719
298.1773,22.69846
302.1286,22.06531
306.0474,21.42396
309.9084,20.77884
313.8587,20.10526
317.784,19.41349
321.8272,18.66846
325.7984,17.90471
329.6938,17.12407
333.4129,16.34433
336.9799,15.57992
340.6083,14.79811
344.4539,13.9695
348.3844,13.11804
352.2853,12.27298
356.2562,11.41278
360.222,10.55367
364.1465,9.703514
368.0163,8.869682
371.9831,8.014977
375.9854,7.161927
379.8684,6.347799
383.6636,5.565303
387.4283,4.78908
391.2516,3.996368
395.0863,3.201262
398.9034,2.414241
402.6989,1.65802
406.552,0.925872
410.4417,0.2269865
414.3822,-0.4359022
418.3476,-1.053259
422.2841,-1.612463
426.1614,-2.101852
429.9728,-2.522804
433.8445,-2.885219
437.6939,-3.180915
441.635,-3.430856
445.548,-3.648466
449.5284,-3.869829
453.4084,-4.111563
457.3643,-4.388929
461.3253,-4.693201
465.3221,-5.013627
469.2917,-5.327437
473.2742,-5.624462
477.2766,-5.896152
481.2967,-6.13765
485.3538,-6.354235
489.4186,-6.539536
493.3784,-6.689202
497.3888,-6.80955
501.349,-6.901972
505.3937,-6.983477
509.365,-7.054674
513.3741,-7.117637
517.3494,-7.166814
521.3705,-7.203154
525.3384,-7.225787
529.3423,-7.235277
533.2703,-7.235859
537.1676,-7.232106
541.0942,-7.215236
545.0587,-7.180583
548.9597,-7.15082
552.8195,-7.151392
556.6908,-7.182076
560.6982,-7.245012
564.7473,-7.326605
568.7479,-7.411076
572.7231,-7.495012
576.7109,-7.570937
580.7047,-7.624783
584.7397,-7.656764
588.7228,-7.661779
592.7202,-7.644604
596.7492,-7.600432
600.8173,-7.528707
604.8708,-7.439213
608.8334,-7.334107
612.7477,-7.212868
616.6194,-7.075724
620.4988,-6.929672
624.2513,-6.788399
628.1118,-6.655951
632.076,-6.524347
636.2032,-6.387339
640.29,-6.247123
644.3132,-6.109088
648.3322,-5.975669
652.3476,-5.842368
655.6368,-5.736835
658.0591,-5.659112
659.6671,-5.611096
661.5494,-5.573724
664.8357,-5.588817
669.743,-5.768833
675.7391,-6.195944
681.7591,-6.806718
687.449,-7.518468
693.0555,-8.327628
698.7311,-9.256485
704.5138,-10.3154
710.314,-11.49787
715.9873,-12.77978
721.5491,-14.16708
726.9802,-15.65069
732.3395,-17.23704
737.6429,-18.92937
742.8979,-20.72932
748.1208,-22.64242
753.2853,-24.66536
758.3965,-26.79299
763.4332,-29.00873
768.4147,-31.32019
773.3376,-33.71853
778.1889,-36.19637
782.9804,-38.77264
787.7457,-41.47305
792.453,-44.27344
797.0969,-47.17774
800.9651,-49.71826
804.3162,-52.02178
807.3889,-54.24653
