obsd_cpos,IMU heading,obsd_X_pos,obsd_Y_pos
1322.984,4.148741,1303.986,82.62984
1325.887,4.173185,1311.763,83.62106
1335.29,4.184297,1315.707,84.12944
1341.021,4.204296,1323.682,85.16276
1347.507,4.215407,1327.86,85.70514
1353.776,4.238741,1335.438,86.69507
1358.703,4.250963,1339.301,87.20093
1365.136,4.275408,1347.625,88.29158
1371.727,4.28763,1351.544,88.80925
1377.791,4.313186,1359.282,89.83559
1382.828,4.326519,1363.289,90.36919
1390.006,4.355408,1370.88,91.38003
1394.833,4.368741,1374.87,91.91631
1402.093,4.396519,1382.442,92.93886
1407.371,4.409852,1386.42,93.47834
1413.928,4.436519,1394.216,94.53989
1418.24,4.448741,1398.168,95.08037
1425.976,4.47763,1406.004,96.15507
1431.684,4.493185,1409.941,96.69904
1437.72,4.524296,1417.551,97.75499
1443.302,4.540962,1421.57,98.31655
1449.859,4.574296,1429.303,99.39662
1454.692,4.590962,1433.226,99.94938
1460.946,4.623185,1440.932,101.039
1467.763,4.640963,1444.705,101.5765
1474.078,4.675407,1452.576,102.6988
1478.539,4.693185,1456.627,103.2819
1486.058,4.728741,1464.166,104.3703
1491.708,4.745407,1468.019,104.931
1497.717,4.773185,1475.724,106.0564
1503.618,4.786518,1479.594,106.624
1509.495,4.80763,1487.327,107.7574
1514.329,4.81763,1491.324,108.3468
1520.878,4.835408,1499.117,109.4969
1527.328,4.842074,1503.09,110.0854
1532.728,4.855408,1510.732,111.2173
1538.354,4.864297,1514.416,111.7649
1545.906,4.885408,1522.412,112.9564
1551.773,4.898742,1526.384,113.5517
1558.017,4.926519,1534.272,114.7381
1563.993,4.938742,1538.232,115.3365
1569.958,4.969852,1545.832,116.4856
1574.854,4.986519,1549.837,117.096
1580.191,5.022075,1557.829,118.3199
1587.685,5.039853,1561.711,118.9177
1593.884,5.072075,1569.386,120.1048
1598.257,5.086519,1573.368,120.7231
1605.846,5.118741,1580.888,121.894
1611.425,5.135408,1584.802,122.5079
1617.446,5.165408,1592.5,123.7201
1623.544,5.180963,1596.588,124.3672
1630.169,5.213185,1604.487,125.6227
1634.948,5.229852,1608.386,126.2452
1640.134,5.262074,1615.971,127.461
1647.717,5.276519,1619.641,128.0522
1654.1,5.306519,1627.472,129.3142
1658.561,5.319852,1631.509,129.9694
1665.783,5.344296,1638.671,131.1336
1671.3,5.354297,1642.658,131.7848
1677.67,5.36763,1650.403,133.0525
1683.634,5.375408,1654.305,133.6924
1688.83,5.390963,1662.02,134.9583
1694.959,5.400963,1665.977,135.6105
1699.764,5.426518,1674.2,136.9694
1707.533,5.442074,1678.021,137.6044
1713.958,5.476518,1685.949,138.927
1718.421,5.494296,1689.974,139.6015
1725.715,5.528741,1697.717,140.9028
1731.569,5.54763,1701.783,141.5908
1737.897,5.582074,1709.478,142.8974
1743.864,5.596519,1713.389,143.5641
1749.047,5.61763,1721.234,144.9028
1755.19,5.62763,1725.172,145.5775
1759.991,5.645408,1732.467,146.8299
1767.302,5.654297,1736.471,147.5191
1772.681,5.672075,1743.982,148.8128
1778.387,5.683186,1747.565,149.4324
1785.938,5.704297,1755.449,150.7984
1791.805,5.718741,1759.434,151.4926
1797.814,5.745408,1767.25,152.8526
1803.939,5.758741,1771.215,153.5469
1809.975,5.786519,1778.785,154.8796
1815.422,5.800963,1782.82,155.5925
1820.367,5.825408,1790.484,156.951
1827.511,5.842074,1794.494,157.6652
1832.912,5.878741,1802.034,159.0126
1838.832,5.898741,1805.67,159.6658
1845.953,5.926519,1813.091,161.002
1851.608,5.938741,1816.73,161.6608
1857.837,5.960964,1824.458,163.0594
1863.649,5.969852,1828.371,163.7713
1868.923,5.986519,1836.101,165.1786
1875.13,5.999852,1840.134,165.9155
1880.078,6.015408,1847.784,167.3161
1887.217,6.02763,1851.714,168.0381
1893.739,6.054297,1859.735,169.5159
