obsd_cpos,IMU heading,obsd_X_pos,obsd_Y_pos
1456.206,4.102075,1424.413,99.4408
1461.987,4.109853,1428.388,100.0061
1468.241,4.133186,1435.966,101.0836
1473.743,4.14763,1439.945,101.6541
1480.457,4.180964,1447.74,102.7767
1485.217,4.195408,1451.754,103.3574
1487.212,4.220963,1459.443,104.463
1497.678,4.232075,1463.44,105.0459
1504.153,4.248742,1471.354,106.2035
1508.611,4.256519,1475.334,106.7874
1516.145,4.275409,1483.16,107.9394
1520.924,4.287631,1486.994,108.5061
1528.015,4.314298,1494.668,109.6457
1533.305,4.329853,1498.559,110.2261
1539.025,4.363186,1506.392,111.397
1545.451,4.379852,1510.357,111.9938
1548.135,4.410963,1517.67,113.0906
1557.636,4.423185,1521.423,113.66
1564.078,4.445408,1529.36,114.8634
1569.22,4.453186,1533.265,115.4602
1575.925,4.470963,1541.09,116.6573
1580.704,4.479853,1545.02,117.2602
1587.882,4.499853,1552.74,118.4481
1593.368,4.510964,1556.688,119.0577
1599.105,4.539853,1564.525,120.2701
1605.299,4.554297,1568.537,120.8943
1608.202,4.577631,1576.491,122.1268
1617.752,4.58763,1580.377,122.7356
1623.037,4.613186,1588.051,123.9397
1629.778,4.625408,1591.93,124.5518
1636.182,4.647631,1599.569,125.7564
1640.934,4.659853,1603.523,126.3845
1646.953,4.677631,1611.439,127.6442
1653.535,4.688742,1615.321,128.2651
1659.115,4.709853,1622.913,129.4812
1665.332,4.722075,1626.666,130.0855
1668.148,4.747631,1634.658,131.3676
1677.96,4.763186,1638.518,131.9943
1683.192,4.794297,1646.244,133.2512
1689.848,4.808742,1650.269,133.9098
1696.174,4.830964,1657.981,135.1716
1700.94,4.842075,1661.867,135.8118
1706.132,4.869853,1669.447,137.0652
1713.489,4.885408,1673.334,137.7112
1718.663,4.912075,1681.029,138.9915
1724.962,4.923186,1684.775,139.6178
1727.716,4.948742,1692.415,140.8907
1737.392,4.960964,1696.404,141.5627
1744.112,4.987631,1704.102,142.8588
1749.631,4.998742,1708.127,143.5414
1755.888,5.025409,1715.837,144.8524
1760.799,5.038742,1719.847,145.5365
1766.355,5.064298,1727.809,146.8994
1773.849,5.078742,1731.673,147.564
1780.051,5.110964,1739.298,148.8811
1784.874,5.127631,1743.27,149.5702
1787.544,5.158741,1750.871,150.885
1797.416,5.173186,1754.729,151.5602
1803.339,5.203186,1762.65,152.947
1809.708,5.216519,1766.496,153.6241
1815.808,5.240964,1774.166,154.9787
1821.2,5.252075,1777.868,155.6354
1827.348,5.275409,1785.721,157.0294
1833.713,5.288742,1789.647,157.7308
1838.838,5.31652,1797.061,159.0573
1845.282,5.332075,1800.718,159.7152
1847.877,5.363186,1808.266,161.0693
1857.778,5.380964,1812.214,161.7859
1863.122,5.417631,1820.009,163.2051
1870.027,5.435409,1823.848,163.9084
1875.95,5.465409,1831.534,165.3154
1881.506,5.47652,1835.4,166.0282
1886.229,5.498742,1843.182,167.4669
1893.718,5.509853,1847.026,168.1799
1898.918,5.527631,1854.378,169.5441
1904.928,5.537631,1857.895,170.1992
1908.035,5.553186,1865.421,171.5954
1917.642,5.563187,1869.477,172.3541
1924.269,5.585409,1877.207,173.7978
1927.846,5.59652,1881.075,174.5281
1936.193,5.622076,1888.324,175.8901
1941.914,5.63652,1892.038,176.5933
1943.663,5.660964,1899.643,178.0278
1953.933,5.680964,1903.621,178.7863
1960.576,5.720964,1911.235,180.2445
1965.883,5.730965,1915.03,180.9753
1968.349,5.763186,1922.684,182.4451
1977.872,5.775409,1926.632,183.2107
1983.436,5.792075,1934.274,184.6921
1989.817,5.799853,1937.955,185.4081
1995.758,5.808742,1945.363,186.855
2001.751,5.818742,1949.303,187.625
2003.789,5.834298,1956.591,189.0434
2013.841,5.845409,1960.221,189.7564
2019.14,5.882076,1967.592,191.2047
2025.481,5.890965,1970.98,191.8754
2027.979,5.930964,1978.57,193.3741
2038.027,5.949853,1982.608,194.1803
2043.963,5.983187,1990.447,195.7466
2050.187,5.997631,1994.326,196.5263
2055.975,6.022076,2001.831,198.0333
2061.684,6.028742,2005.62,198.7981
2064.445,6.043187,2013.366,200.3699
2073.807,6.05652,2017.322,201.1728
2080.216,6.092076,2024.771,202.6919
2085.847,6.099854,2028.399,203.4337
2088.356,6.132076,2035.954,204.9745
2097.669,6.143187,2039.778,205.7608
2103.974,6.169854,2047.656,207.3833
2109.674,6.184298,2051.576,208.1943
2115.992,6.209854,2058.756,209.6787
2121.789,6.229854,2062.606,210.4799
2123.677,6.248743,2070.369,212.0893
2134.407,6.262076,2074.238,212.8993
2139.605,6.297631,2081.459,214.4114
obsd_cpos,IMU heading,obsd_X_pos,obsd_Y_pos
-3.942185e-16,0.0,-7.488744e-14,0.0
-3.407727e-14,0.0,-7.488744e-14,0.0
0.5126935,0.0,2.211278,0.0
2.362194,-0.003333333,5.221996,-0.0002971052
7.426371,-0.01111111,12.00659,-0.001391321
12.42575,-0.02111111,15.73143,-0.002583701
18.33256,-0.02444445,24.31251,-0.006532132
23.23237,-0.02444445,28.73894,-0.008661107
26.58269,-0.02222222,37.50917,-0.02467265
38.66496,-0.02111111,41.76659,-0.02634154
45.0569,-0.01555556,50.19729,-0.03391023
50.53389,-0.01111111,54.26836,-0.03366534
53.64513,0.005407406,62.23672,-0.03816658
64.00995,0.02874095,66.5388,-0.03210378
70.42271,0.06651886,74.57941,-0.01011324
76.40415,0.1020742,78.53177,0.004174558
82.51754,0.1454077,86.04449,0.03760655
87.89932,0.1665188,89.61074,0.05669199
89.4617,0.2131854,97.21595,0.09279016
100.5429,0.2265187,101.2554,0.1225202
106.1275,0.2731853,108.632,0.1768507
111.0141,0.2887407,112.5378,0.210782
118.0645,0.3098522,120.5711,0.2862526
122.381,0.3265186,124.4174,0.3245778
130.3579,0.3442965,132.3668,0.4053207
135.8923,0.3642965,136.3807,0.4534986
142.0037,0.408741,144.2139,0.5544423
146.4514,0.4320741,148.2792,0.6103726
154.4896,0.4665189,155.9653,0.7207043
159.6168,0.4876304,159.9413,0.7834054
166.2296,0.5231858,167.7354,0.9121388
171.9018,0.5298524,171.7256,0.9817876
178.29,0.5565191,179.679,1.118954
182.6149,0.5620747,183.6598,1.191619
190.3112,0.5787411,191.3569,1.332049
195.8978,0.5920744,195.3794,1.410897
202.0755,0.615408,203.3018,1.570771
206.4619,0.6320744,207.3195,1.654494
214.2784,0.6654077,215.1922,1.822207
219.3809,0.6809636,219.1842,1.911152
226.2296,0.6998525,227.1288,2.092872
231.7556,0.7098523,231.0538,2.185205
237.9997,0.7331858,239.0567,2.377366
242.3171,0.7387414,242.9983,2.473873
248.9346,0.7576304,250.668,2.66119
255.5472,0.7765193,254.5862,2.762274
261.7114,0.803186,262.5032,2.970492
266.0995,0.8187419,266.5199,3.0785
273.6982,0.8542973,274.3266,3.292397
278.9414,0.8742972,278.4225,3.40927
285.8743,0.9109641,286.2934,3.640069
291.9128,0.9276305,290.389,3.763455
297.9582,0.9531861,298.1603,4.001034
302.3188,0.9587418,302.2006,4.125906
309.4718,0.9687415,310.1613,4.371128
315.7607,0.9798528,314.0957,4.49559
322.0168,0.9887415,322.0775,4.751063
326.4719,0.9965192,326.1677,4.883859
333.9977,1.018741,334.2569,5.149249
339.2266,1.030963,338.1417,5.279687
345.8911,1.056519,345.8289,5.543029
351.8463,1.072074,349.8699,5.683854
357.8788,1.098741,357.702,5.959922
362.1847,1.106519,361.6782,6.10134
369.3302,1.11763,369.0365,6.361688
375.5131,1.124297,373.1549,6.51123
381.8791,1.138741,381.0571,6.801088
386.2598,1.148741,385.092,6.950675
389.765,1.169852,393.2918,7.248799
399.898,1.179852,397.2514,7.399566
406.0491,1.193185,404.9184,7.694542
411.6254,1.200963,408.9447,7.851367
417.8877,1.216519,416.7458,8.158454
422.2624,1.224297,420.7258,8.31691
424.6383,1.244297,428.4204,8.615958
435.7825,1.254296,432.5957,8.787222
442.0281,1.272074,440.4899,9.109941
446.4212,1.282074,444.4279,9.274414
453.524,1.300963,452.1621,9.600492
457.818,1.310963,456.1851,9.771729
465.8076,1.325408,464.183,10.11616
471.4782,1.336519,468.1266,10.28827
477.7969,1.359852,476.0937,10.63962
482.0529,1.370963,480.0007,10.81374
489.782,1.394296,487.8223,11.16494
495.0398,1.405407,491.8394,11.34881
501.9608,1.425407,499.7829,11.71732
507.408,1.440963,503.8188,11.90736
513.8195,1.473185,511.6487,12.28113
518.418,1.489852,515.7141,12.4778
525.9529,1.524296,523.4544,12.85548
530.8098,1.539852,527.4501,13.05495
533.5511,1.56763,535.0924,13.43231
543.5035,1.580963,538.9653,13.63096
550.041,1.610963,546.8099,14.03353
555.5643,1.626519,550.7811,14.24259
561.7538,1.663185,558.5806,14.65863
566.128,1.680963,562.5429,14.87264
568.1292,1.715407,570.222,15.28122
579.6425,1.733185,574.2848,15.5083
586.0514,1.770963,582.1656,15.95481
590.5808,1.789852,586.1625,16.184
597.9754,1.824296,593.9297,16.63594
602.1357,1.840963,597.8633,16.8673
610.0209,1.866518,605.6426,17.32866
615.2073,1.884296,609.5701,17.56609
621.7611,1.916518,617.3233,18.03982
627.1265,1.930963,621.4163,18.29261
633.7634,1.958741,629.2097,18.77844
638.1362,1.972074,633.2446,19.03209
645.8765,2.000963,641.0323,19.525
651.2128,2.016518,645.0488,19.78332
657.9049,2.038741,652.9745,20.29786
663.5038,2.050963,656.9287,20.5573
669.8309,2.074296,664.8069,21.0781
674.1448,2.085407,668.7926,21.34327
681.6589,2.104296,676.8223,21.87948
686.8224,2.110963,680.7552,22.14425
693.6974,2.122074,688.5386,22.67111
699.2117,2.128741,692.498,22.9407
705.3979,2.144296,700.3303,23.47641
710.6016,2.153185,704.3571,23.75369
717.0627,2.17763,712.0254,24.2817
723.1597,2.190963,716.1215,24.56816
729.9122,2.216519,724.0443,25.12722
734.3026,2.230963,728.0418,25.41172
741.694,2.258741,735.85,25.97194
746.153,2.272074,739.8354,26.26006
754.4106,2.300963,747.6765,26.82999
759.5289,2.313185,751.6447,27.12182
765.9292,2.336519,759.4647,27.70028
771.5137,2.346519,763.4821,27.99963
777.7781,2.365407,771.1948,28.57799
782.6113,2.374296,775.1422,28.87583
784.9186,2.394296,783.0203,29.46289
795.7335,2.403185,786.9158,29.75988
801.8528,2.42763,794.3972,30.33297
806.7971,2.43763,797.9786,30.60955
813.7572,2.462074,805.5464,31.19172
818.4952,2.476519,809.6046,31.50926
826.1403,2.500963,817.6806,32.14621
831.5977,2.512074,821.5637,32.45424
837.7123,2.530963,829.318,33.07134
842.77,2.538741,833.3192,33.39097
846.3263,2.549852,840.9654,33.99628
855.7698,2.555408,845.0056,34.32079
862.1617,2.569852,852.8129,34.95144
866.4777,2.583185,856.8269,35.27826
873.7888,2.609852,864.4335,35.90311
878.7896,2.625407,868.2028,36.216
886.3691,2.662074,876.2487,36.88445
891.8276,2.679852,880.2067,37.21891
898.2468,2.716519,888.0273,37.88356
903.219,2.733185,892.1042,38.23238
905.9771,2.758741,899.9122,38.89579
915.8274,2.770963,903.796,39.233
921.87,2.799852,911.6304,39.91777
927.9137,2.816519,915.6302,40.27138
933.8807,2.850963,923.2476,40.94899
938.1066,2.863185,927.1548,41.29878
944.7372,2.890963,934.9456,41.99982
951.6218,2.904296,938.9481,42.36362
957.7212,2.932074,946.8123,43.08257
962.7877,2.946519,950.7999,43.44991
965.8564,2.976519,958.7756,44.17985
975.7612,2.990963,962.7853,44.55341
982.1069,3.009852,970.4399,45.26902
987.4041,3.016519,974.4015,45.64086
994.0867,3.032074,982.4501,46.39981
998.3432,3.043185,986.2422,46.75968
1005.403,3.070963,993.9113,47.48892
1011.721,3.089852,997.9728,47.88179
1017.879,3.133185,1006.041,48.66937
1023.001,3.15763,1010.227,49.08232
1030.003,3.208741,1018.052,49.85862
1035.479,3.234296,1022.005,50.25597
1042.254,3.279852,1029.891,51.05456
1047.704,3.294296,1033.752,51.44857
1053.597,3.31763,1041.416,52.235
1058.116,3.330963,1045.342,52.64037
1064.066,3.362074,1053.273,53.46411
1071.481,3.375407,1057.255,53.88065
1077.589,3.400963,1065.123,54.70776
1082.504,3.415407,1069.134,55.13203
1089.788,3.445407,1076.448,55.90814
1095.458,3.463185,1080.568,56.34976
1101.81,3.496519,1088.575,57.21368
1107.402,3.513185,1092.543,57.64508
1113.667,3.548741,1100.338,58.49804
1118.197,3.563185,1104.389,58.94431
1125.49,3.590963,1112.036,59.78773
1131.661,3.603185,1116.028,60.2336
1137.743,3.625407,1123.815,61.10645
1142.512,3.635407,1127.755,61.54985
1145.934,3.652074,1135.395,62.40447
1155.212,3.65763,1139.377,62.85428
1161.6,3.668741,1147.358,63.75759
1167.189,3.675407,1151.323,64.20753
1173.812,3.693185,1159.363,65.12327
1178.142,3.702074,1163.322,65.5762
1183.78,3.723185,1171.256,66.48732
1191.646,3.735407,1175.301,66.95465
1197.894,3.763185,1183.315,67.8848
1202.887,3.77763,1187.368,68.35757
1210.175,3.808741,1195.175,69.27122
1215.739,3.824296,1199.115,69.73622
1220.919,3.844296,1206.778,70.6429
1227.744,3.856519,1210.8,71.12208
1233.99,3.878741,1218.535,72.04723
1238.293,3.889852,1222.413,72.51288
1244.017,3.913185,1229.669,73.38787
1251.77,3.924296,1233.49,73.8512
1257.66,3.949852,1241.348,74.8023
1263.211,3.962074,1245.176,75.2703
1270.106,3.98763,1252.701,76.19283
1275.84,4.000963,1256.719,76.68909
1281.213,4.028741,1264.819,77.69169
1288.253,4.040963,1268.779,78.18559
1293.895,4.063186,1276.219,79.11184
1298.64,4.073186,1280.332,79.62846
1304.232,4.093185,1288.354,80.64052
1312.033,4.108741,1292.279,81.13899
1318.068,4.136518,1299.998,82.1191
1322.984,4.148741,1303.986,82.62984
1325.887,4.173185,1311.763,83.62106
1335.29,4.184297,1315.707,84.12944
1341.021,4.204296,1323.682,85.16276
1347.507,4.215407,1327.86,85.70514
1353.776,4.238741,1335.438,86.69507
1358.703,4.250963,1339.301,87.20093
1365.136,4.275408,1347.625,88.29158
1371.727,4.28763,1351.544,88.80925
1377.791,4.313186,1359.282,89.83559
1382.828,4.326519,1363.289,90.36919
1390.006,4.355408,1370.88,91.38003
1394.833,4.368741,1374.87,91.91631
1402.093,4.396519,1382.442,92.93886
1407.371,4.409852,1386.42,93.47834
1413.928,4.436519,1394.216,94.53989
1418.24,4.448741,1398.168,95.08037
1425.976,4.47763,1406.004,96.15507
1431.684,4.493185,1409.941,96.69904
1437.72,4.524296,1417.551,97.75499
1443.302,4.540962,1421.57,98.31655
1449.859,4.574296,1429.303,99.39662
1454.692,4.590962,1433.226,99.94938
1460.946,4.623185,1440.932,101.039
1467.763,4.640963,1444.705,101.5765
1474.078,4.675407,1452.576,102.6988
1478.539,4.693185,1456.627,103.2819
1486.058,4.728741,1464.166,104.3703
1491.708,4.745407,1468.019,104.931
1497.717,4.773185,1475.724,106.0564
1503.618,4.786518,1479.594,106.624
1509.495,4.80763,1487.327,107.7574
1514.329,4.81763,1491.324,108.3468
1520.878,4.835408,1499.117,109.4969
1527.328,4.842074,1503.09,110.0854
1532.728,4.855408,1510.732,111.2173
1538.354,4.864297,1514.416,111.7649
1545.906,4.885408,1522.412,112.9564
1551.773,4.898742,1526.384,113.5517
1558.017,4.926519,1534.272,114.7381
1563.993,4.938742,1538.232,115.3365
1569.958,4.969852,1545.832,116.4856
1574.854,4.986519,1549.837,117.096
1580.191,5.022075,1557.829,118.3199
1587.685,5.039853,1561.711,118.9177
1593.884,5.072075,1569.386,120.1048
1598.257,5.086519,1573.368,120.7231
1605.846,5.118741,1580.888,121.894
