v_hat,v,v_avg
2.658818e-15,0.0,1.595291e-15
0.0,0.0,0.0
1.306616e-12,0.0,7.839695e-13
2.658818e-15,0.0,1.595291e-15
8.621036e-19,0.0,5.172621e-19
-2.689997e-20,0.0,-1.613998e-20
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.306141e-12,0.0,7.836844e-13
0.0,0.0,0.0
7.952465,54.40165,26.53214
7.895254,126.4654,55.32333
7.238094,122.7117,53.42752
7.678325,161.8805,69.35918
7.291975,175.4753,74.56531
7.102331,170.4394,72.43716
7.532217,189.7807,80.4316
7.257154,205.4995,86.55411
6.982361,221.2018,92.67013
6.531526,225.7176,94.20594
6.208926,220.3828,91.87846
6.186194,214.3193,89.43945
6.173678,212.1232,88.5535
6.138136,211.1949,88.16086
6.07397,214.9917,89.64105
5.891245,209.0709,87.16312
5.933959,206.8053,86.28249
5.908924,203.9311,85.11779
5.94595,203.5502,84.98766
5.907706,204.3717,85.29331
5.891046,200.7406,83.83088
5.949034,204.4735,85.35884
5.847416,196.7265,82.19906
6.016702,191.9071,80.37288
6.163105,200.6023,83.93877
6.009709,200.6223,83.85473
6.006207,196.5395,82.21952
6.091863,196.4767,82.2458
6.137174,201.6802,84.35437
5.997477,194.6125,81.4435
6.165816,203.922,85.2683
5.96588,202.4317,84.5522
5.986512,201.9486,84.37134
5.988065,199.5612,83.41731
6.02001,204.4478,85.39114
5.889023,197.3438,82.47092
6.054137,200.632,83.8853
5.961161,198.5687,83.0042
6.026508,203.7407,85.1122
5.905854,201.1018,83.98421
5.94945,201.0864,84.00423
5.924516,201.0968,83.99345
5.904653,200.2819,83.65556
5.941958,199.097,83.20399
5.954937,198.6001,83.013
5.993086,198.4395,82.97166
6.026838,200.0175,83.6231
5.967896,201.0722,84.00961
5.937499,199.7372,83.4574
5.978788,197.5583,82.61058
6.015618,196.4867,82.20403
6.097812,195.7755,81.96887
6.132902,201.0301,84.09179
6.023791,204.7001,85.49431
5.920537,201.1127,83.99742
5.964477,201.7622,84.28355
5.971225,200.7316,83.87538
5.969608,200.5872,83.81663
5.958234,203.3158,84.90125
5.876202,200.233,83.61893
5.893312,201.1016,83.97662
5.875115,201.8419,84.26183
5.860625,195.7447,81.81425
6.038179,202.0696,84.45076
5.876638,200.5672,83.75285
5.894947,200.2222,83.62584
5.864134,196.8058,82.24079
6.002355,196.9749,82.39138
6.025474,195.6677,81.88238
6.066453,204.7836,85.55333
5.831588,195.0087,81.50244
6.104526,199.5029,83.46386
5.992558,199.4059,83.35787
5.98828,198.4216,82.96161
6.052283,196.0896,82.06721
6.107995,202.5963,84.70332
5.963903,197.323,82.50755
6.088697,199.7455,83.55144
6.031984,197.5695,82.647
6.145794,198.1396,82.94331
6.102188,198.9319,83.23407
6.120783,199.3303,83.40457
6.078995,203.0857,84.88168
6.021376,201.5591,84.23647
6.034892,198.956,83.20333
6.077119,200.5912,83.88274
6.035458,204.6512,85.48177
5.92752,202.6551,84.61855
5.95329,200.6503,83.83208
5.972167,195.0829,81.61647
6.133767,202.8686,84.82769
5.9404,197.8514,82.70481
6.041702,196.9578,82.40815
6.074479,198.9736,83.23413
6.06148,201.4863,84.2314
6.01602,197.1094,82.45338
6.137811,204.0157,85.28898
5.930392,199.311,83.28262
6.052965,195.2254,81.72195
6.15167,203.0043,84.89275
6.02518,200.1285,83.66652
6.058851,202.4912,84.63181
5.959408,195.2578,81.67876
6.157695,199.9593,83.67832
6.066685,193.7787,81.1515
6.237098,203.68,85.21425
5.96436,196.5338,82.19215
6.153338,203.4294,85.06377
5.997584,199.1924,83.2755
6.07773,199.6184,83.494
6.103894,196.0131,82.06757
6.209154,199.7089,83.60905
6.125501,206.2097,86.15919
5.958546,198.0583,82.79845
6.100363,199.2169,83.34697
6.110568,199.3011,83.38677
6.11397,198.9512,83.24886
6.118869,196.0465,82.08994
6.212332,200.8171,84.05425
6.101573,200.0146,83.66677
6.117328,200.4686,83.85783
6.150493,198.4162,83.05676
6.180663,198.9319,83.28115
6.143036,199.1713,83.35435
6.155686,195.2284,81.78476
6.300346,198.9745,83.37003
6.22308,199.3107,83.45815
6.172987,203.8978,85.26289
