=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.09.26 18:28:08 =~=~=~=~=~=~=~=~=~=~=~=

>>> 
MPY: sync filesystems
MPY: soft reboot
idx, val
825, 3643
826, 3644
827, 3645
828, 3648
829, 3647
830, 3647
831, 3649
832, 3647
833, 3647
834, 3651
835, 3647
836, 3647
837, 3650
838, 3650
839, 3652
840, 3652
841, 3655
842, 3654
843, 3651
844, 3649
845, 3652
846, 3651
847, 3653
848, 3653
849, 3655
850, 3653
851, 3655
852, 3656
853, 3657
854, 3657
855, 3658
856, 3657
857, 3657
858, 3659
859, 3660
860, 3659
861, 3661
862, 3661
863, 3662
864, 3663
865, 3661
866, 3662
867, 3663
868, 3660
869, 3660
870, 3663
871, 3663
872, 3663
873, 3663
874, 3665
875, 3663
876, 3669
877, 3663
878, 3667
879, 3667
880, 3667
881, 3669
882, 3668
883, 3666
884, 3668
885, 3669
886, 3669
887, 3673
888, 3671
889, 3670
890, 3668
891, 3669
892, 3663
893, 3671
894, 3673
895, 3672
896, 3673
897, 3674
898, 3673
899, 3673
900, 3675
901, 3669
902, 3673
903, 3677
904, 3675
905, 3673
906, 3674
907, 3676
908, 3679
909, 3677
910, 3683
911, 3670
912, 3677
913, 3675
914, 3676
915, 3677
916, 3681
917, 3679
918, 3680
919, 3681
920, 3680
921, 3680
922, 3687
923, 3681
924, 3682
925, 3681
926, 3685
927, 3681
928, 3680
929, 3685
930, 3684
931, 3689
932, 3685
933, 3685
934, 3683
935, 3682
936, 3685
937, 3685
938, 3688
939, 3687
940, 3685
941, 3685
942, 3686
943, 3685
944, 3688
945, 3687
946, 3689
947, 3689
948, 3689
949, 3689
950, 3687
951, 3689
952, 3689
953, 3689
954, 3690
955, 3691
956, 3701
957, 3689
958, 3689
959, 3695
960, 3687
961, 3691
962, 3691
963, 3693
964, 3691
965, 3691
966, 3691
967, 3692
968, 3692
969, 3695
970, 3695
971, 3693
972, 3689
973, 3695
974, 3695
975, 3694
976, 3695
977, 3695
978, 3699
979, 3694
980, 3695
981, 3695
982, 3695
983, 3694
984, 3695
985, 3697
986, 3695
987, 3698
988, 3699
989, 3700
990, 3695
991, 3699
992, 3695
993, 3693
994, 3699
995, 3701
996, 3699
997, 3700
998, 3699
999, 3701
MicroPython v1.22.0-preview.296.g3b56b206a.dirty on 2023-12-19; NUCLEO-L476RG with STM32L476RG
Type "help()" for more information.
>>> 
